"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Avg. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Avg. (%)","Wind Speed 2 m Avg. (km/h)"
"Keoma AGCM",2017/08/20,0,11.993,22.12,1.149,61.817,6.209
"Keoma AGCM",2017/08/21,0,13.064,23.87,1.439,64.633,6.797
"Keoma AGCM",2017/08/22,0,16.581,27.95,3.392,58.391,5.594
"Keoma AGCM",2017/08/23,0,18.327,31.19,5.775,55.689,5.634
"Keoma AGCM",2017/08/24,0,18.436,29.25,10.05,57.314,12.217
"Keoma AGCM",2017/08/25,0.2,13.47,23.39,1.603,57.073,7.853
"Keoma AGCM",2017/08/26,0,14.518,26.53,3.958,47.781,7.275
"Keoma AGCM",2017/08/27,0,18.057,31.53,3.268,47.482,5.714
"Keoma AGCM",2017/08/28,0,17.512,28.38,6.793,56.617,9.553
"Keoma AGCM",2017/08/29,0.1,16.633,27.16,7.635,66.255,6.945
"Keoma AGCM",2017/08/30,0,18.939,34.37,5.591,53.232,7.343
"Keoma AGCM",2017/08/31,0,18.476,25.97,10.29,52.948,12.085
"Keoma AGCM",2017/09/01,0,16.132,27.21,5.249,59.861,7.139
"Keoma AGCM",2017/09/02,0,18.873,33.25,4.155,47.744,10.818
"Keoma AGCM",2017/09/03,2.4,13.252,20.79,7.794,71.99,9.246
"Keoma AGCM",2017/09/04,0,12.916,20.31,3.482,69.856,5.885
"Keoma AGCM",2017/09/05,0,13.143,27.25,0.502,57.624,9.158
"Keoma AGCM",2017/09/06,0,15.825,30.09,2.265,50.527,5.357
"Keoma AGCM",2017/09/07,0,17.116,31.9,3.899,45.518,9.621
"Keoma AGCM",2017/09/08,0,15.853,25.92,7.192,57.87,10.344
"Keoma AGCM",2017/09/09,0,15.771,29.73,5.029,67.496,8.673
"Keoma AGCM",2017/09/10,0,14.443,23.71,5.066,50.973,8.507
"Keoma AGCM",2017/09/11,0,17.196,30.75,4.673,36.114,10.962
"Keoma AGCM",2017/09/12,0.2,13.278,20.01,5.754,56.052,11.809
"Keoma AGCM",2017/09/13,12.8,7.054,8.97,5.415,93.617,12.179
"Keoma AGCM",2017/09/14,0.1,6.286,10.76,-0.187,83.063,8.183
"Keoma AGCM",2017/09/15,0,4.445,9.53,-1.588,84.942,6.045
"Keoma AGCM",2017/09/16,0,5.874,15.44,-5.406,66.98,13.374
"Keoma AGCM",2017/09/17,0,7.599,19.43,-3.966,64.846,9.201
"Keoma AGCM",2017/09/18,0.1,9.432,19.35,-1.026,58.921,12.907
"Keoma AGCM",2017/09/19,0.3,6.593,16.26,-1.642,61.539,11.637
"Keoma AGCM",2017/09/20,0.4,3.075,9.34,-4.924,79.832,11.376
"Keoma AGCM",2017/09/21,4.3,2.749,4.07,1.824,91.392,19.807
